"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"tidyquant","tidyquant","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.7",NA,"R (>= 3.5.0), lubridate, PerformanceAnalytics, quantmod (>=
0.4-13)","dplyr (>= 1.0.0), ggplot2, jsonlite, httr, curl, lazyeval,
magrittr, purrr, Quandl, riingo, readr, readxl, alphavantager
(>= 0.1.2), stringr, tibble, tidyr (>= 1.0.0), timetk (>=
2.4.0), timeDate, TTR, xts, rlang, tidyverse, tidyselect",NA,"tibbletime, forcats, broom, knitr, rmarkdown, testthat (>=
2.1.0), scales, Rblpapi, covr, janitor",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tidyr","tidyr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.1",NA,"R (>= 3.6)","cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.1.1), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)","cpp11 (>= 0.4.0)","covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"tidyselect","tidyselect","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.0",NA,"R (>= 3.4)","cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.4.1), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tidytext","tidytext","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.1",NA,"R (>= 2.10)","cli, dplyr, generics, janeaustenr, lifecycle, Matrix, methods,
purrr (>= 0.1.1), rlang (>= 0.4.10), stringr, tibble,
tokenizers, vctrs",NA,"broom, covr, data.table, ggplot2, hunspell, knitr, mallet,
NLP, quanteda, readr, reshape2, rmarkdown, scales, stm,
stopwords, testthat (>= 2.1.0), textdata, tidyr, tm,
topicmodels, vdiffr, wordcloud",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tidyverse","tidyverse","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.0",NA,"R (>= 3.3)","broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tigris","tigris","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1",NA,"R (>= 3.3.0)","stringr, magrittr, utils, rappdirs, httr, uuid, sf, dplyr,
methods",NA,"testthat, ggplot2, ggthemes, leaflet, knitr, tidycensus, sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"timechange","timechange","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat (>= 0.7.1.99), knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.1"
"timeDate","timeDate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4032.109",NA,"R (>= 3.6.0), methods","graphics, utils, stats",NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"timetk","timetk","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.9.0",NA,"R (>= 3.3.0)","recipes (>= 1.0.4), rsample, dplyr (>= 1.0.0), ggplot2 (>=
3.4.0), forcats, stringr, plotly, lubridate (>= 1.6.0), padr
(>= 0.5.2), purrr (>= 0.2.2), readr (>= 1.3.0), stringi (>=
1.4.6), tibble (>= 3.0.3), tidyr (>= 1.1.0), xts (>= 0.9-7),
zoo (>= 1.7-14), rlang (>= 1.1.1), tidyselect (>= 1.1.0),
slider, anytime, timeDate, forecast, tsfeatures, hms, generics",NA,"modeltime, glmnet, workflows, parsnip, tune (>= 0.1.2),
knitr, rmarkdown, broom, scales, testthat, fracdiff,
timeSeries, tseries, trelliscopejs",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"tinytable","tinytable","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.0.3",NA,"R (>= 4.1.0)",NA,NA,"altdoc, ggplot2, htmltools, markdown, palmerpenguins, pandoc,
rmarkdown, rstudioapi, tinysnapshot, tinytest, tinytex,
webshot2","knitr","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.1"
"tinytex","tinytex","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.49",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"tm","tm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.7-11",NA,"R (>= 3.2.0), NLP (>= 0.2-0)","Rcpp, parallel, slam (>= 0.1-37), stats, tools, utils,
graphics, xml2","BH, Rcpp","antiword, filehash, methods, pdftools, Rcampdf, Rgraphviz,
Rpoppler, SnowballC, testthat, tm.lexicon.GeneralInquirer",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.1"
"tmap","tmap","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.3-4",NA,"R (>= 3.5.0), methods","tmaptools (>= 3.1), sf (>= 0.9-7), stars (>= 0.5-0), units (>=
0.6-1), grid, RColorBrewer, viridisLite, classInt (>= 0.4-3),
htmltools, htmlwidgets, widgetframe, leaflet (>= 2.0.2),
leafsync, leafem (>= 0.1), stats, abind, rlang, utils",NA,"rmapshaper, rmarkdown, knitr, png, cartogram, osmdata,
ggplot2, dplyr, tidyr, shiny, testthat, covr, av, gifski, s2",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"tmaptools","tmaptools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.1-1",NA,"R (>= 3.5), methods","sf (>= 0.9.2), lwgeom (>= 0.1-4), stars (>= 0.4-1), units (>=
0.6-1), grid, magrittr, RColorBrewer, viridisLite, stats,
dichromat, XML",NA,"tmap (>= 3.0), rmapshaper, osmdata, OpenStreetMap, raster,
png, shiny, shinyjs",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"TMB","TMB","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9.10",NA,"R (>= 3.0.0)","graphics, methods, stats, utils, Matrix (>= 1.0-12)","Matrix, RcppEigen","numDeriv, parallel",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"tokenizers","tokenizers","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.0",NA,"R (>= 3.1.3)","stringi (>= 1.0.1), Rcpp (>= 0.12.3), SnowballC (>= 0.5.1)","Rcpp","covr, knitr, rmarkdown, stopwords (>= 0.9.0), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tools","tools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,NA,NA,"codetools, methods, xml2, curl, commonmark, knitr, xfun, mathjaxr",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"triebeard","triebeard","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.1",NA,NA,"Rcpp","Rcpp","knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"troopdata","troopdata","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.5",NA,"R (>= 3.5.0)","magrittr, dplyr, tibble, rlang",NA,"testthat (>= 3.0.0), spelling, knitr, rmarkdown, viridis,
ggplot2, countrycode, tidyr, stringr, readstata13, haven, maps",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"truncnorm","truncnorm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0-9",NA,"R (>= 3.4.0)",NA,NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"tseries","tseries","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.10-55",NA,"R (>= 2.10.0)","graphics, stats, utils, quadprog, zoo, quantmod (>= 0.4-9),
jsonlite",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"tsfeatures","tsfeatures","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,"R (>= 3.6.0)","fracdiff, forecast (>= 8.3), purrr, RcppRoll (>= 0.2.2),
stats, tibble, tseries, urca, future, furrr",NA,"testthat, knitr, rmarkdown, ggplot2, tidyr, dplyr, Mcomp,
GGally",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"TTR","TTR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.24.4",NA,NA,"xts (>= 0.10-0), zoo, curl","xts","RUnit","quantmod","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"tweenr","tweenr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.2",NA,"R (>= 3.2.0)","farver, magrittr, rlang, vctrs","cpp11 (>= 0.4.2)","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tzdb","tzdb","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.0",NA,"R (>= 3.5.0)",NA,"cpp11 (>= 0.4.2)","covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"udpipe","udpipe","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8.11",NA,"R (>= 2.10)","Rcpp (>= 0.11.5), data.table (>= 1.9.6), Matrix, methods,
stats","Rcpp","knitr, rmarkdown, topicmodels, lattice, parallel",NA,"MPL-2.0",NA,NA,NA,NA,"yes","4.2.0"
"units","units","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8-5",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","NISTunits, measurements, xml2, magrittr, pillar (>= 1.3.0),
dplyr (>= 1.0.0), vctrs (>= 0.3.1), ggplot2 (> 3.2.1), testthat
(>= 3.0.0), vdiffr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"unmarked","unmarked","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.5",NA,"R (>= 2.12.0), methods","graphics, lattice, lme4, MASS, Matrix, parallel, pbapply,
plyr, Rcpp (>= 0.8.0), stats, TMB (>= 1.7.18), utils","Rcpp, RcppArmadillo, TMB, RcppEigen","knitr, rmarkdown, pkgdown, raster, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"urca","urca","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3-3",NA,"R (>= 2.0.0), methods","nlme, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"urlchecker","urlchecker","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,"R (>= 3.3)","cli, curl, tools, xml2",NA,"covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"urltools","urltools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.7.3",NA,"R (>= 2.10)","Rcpp, methods, triebeard","Rcpp","testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"usethis","usethis","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.2.2",NA,"R (>= 3.6)","cli (>= 3.0.1), clipr (>= 0.3.0), crayon, curl (>= 2.7), desc
(>= 1.4.2), fs (>= 1.3.0), gert (>= 1.4.1), gh (>= 1.2.1), glue
(>= 1.3.0), jsonlite, lifecycle (>= 1.0.0), purrr, rappdirs,
rlang (>= 1.1.0), rprojroot (>= 1.2), rstudioapi, stats, utils,
whisker, withr (>= 2.3.0), yaml",NA,"covr, knitr, magick, pkgload, rmarkdown, roxygen2 (>= 7.1.2),
spelling (>= 1.2), styler (>= 1.2.0), testthat (>= 3.1.8)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"usmap","usmap","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.7.0",NA,"R (>= 3.5.0)","rlang, usmapdata (>= 0.2.0)",NA,"covr, ggplot2, ggrepel, knitr, proto, rmarkdown, scales, sf,
testthat, vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.1"
"usmapdata","usmapdata","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.1",NA,"R (>= 3.5.0)","rlang, sf",NA,"covr, dplyr, testthat (>= 3.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.1"
"utf8","utf8","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.4",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"utils","utils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.2.1","base",NA,NA,NA,"methods, xml2, commonmark, knitr",NA,"Part of R 4.2.1",NA,NA,NA,NA,"yes","4.2.1"
"uuid","uuid","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2-0",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"V8","V8","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","4.4.1",NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"vcd","vcd","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4-12",NA,"R (>= 2.4.0), grid","stats, utils, MASS, grDevices, colorspace, lmtest",NA,"KernSmooth, mvtnorm, kernlab, HSAUR3, coin",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.1"
"vcdExtra","vcdExtra","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8-5",NA,"R (>= 3.5.0), vcd, gnm (>= 1.0-3), grid","MASS, grDevices, stats, utils, ca, dplyr, glue, here, purrr,
readxl, stringr, tidyr (>= 1.3.0)",NA,"gmodels, Fahrmeir, effects, VGAM, plyr, lmtest, nnet,
ggplot2, Sleuth2, car, lattice, stats4, rgl, AER, coin, Hmisc,
knitr, rmarkdown, seriation,",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"vctrs","vctrs","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.5",NA,"R (>= 3.5.0)","cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.1.0)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), waldo (>= 0.2.0), withr, xml2,
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"vdemdata","vdemdata","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","13.0",NA,"R (>= 3.5.0)","dplyr, tidyr, stringr, ggplot2, tidyselect",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"venneuler","venneuler","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-3",NA,"rJava",NA,NA,NA,NA,"MPL-1.1",NA,NA,NA,NA,"no","4.2.0"
"VGAM","VGAM","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-9",NA,"R (>= 4.0.0), methods, stats, stats4, splines",NA,NA,"VGAMextra, MASS, mgcv","VGAMdata","GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"viridis","viridis","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.6.5",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, httr, mapproj, vdiffr, svglite (>= 1.2.0),
testthat, covr, rmarkdown, maps, terra",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"viridisLite","viridisLite","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.2",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"vitae","vitae","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.4",NA,"R (>= 3.5.0)","rlang, glue, dplyr, rmarkdown (>= 2.2), knitr, xfun, yaml,
tibble, vctrs (>= 0.3.3), pillar, jsonlite",NA,"covr, testthat, stringr, htmltools",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"vroom","vroom","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.5",NA,"R (>= 3.6)","bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"vtable","vtable","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.6",NA,"kableExtra","utils, stats, rstudioapi, sjlabelled, haven, knitr",NA,"rmarkdown, survey",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"waldo","waldo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.2",NA,"R (>= 3.6)","cli, diffobj (>= 0.3.4), fansi, glue, methods, rematch2, rlang
(>= 1.0.0), tibble",NA,"covr, R6, testthat (>= 3.0.0), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"warp","warp","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.1",NA,"R (>= 3.2)",NA,NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"WDI","WDI","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.7.8",NA,"R (>= 3.5.0)","jsonlite",NA,"curl, testthat, tidyr (>= 0.8.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"webshot","webshot","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.5",NA,"R (>= 3.0)","magrittr, jsonlite, callr",NA,"httpuv, knitr, rmarkdown, shiny, testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"websocket","websocket","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.1",NA,NA,"R6, later (>= 1.2.0)","cpp11, AsioHeaders, later","httpuv, testthat, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"whisker","whisker","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.1",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"widgetframe","widgetframe","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.1",NA,"R (>= 3.1.0), htmlwidgets,","htmltools, purrr, magrittr, utils, tools",NA,"knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"withr","withr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.0.0",NA,"R (>= 3.5.0)","graphics, grDevices,",NA,"callr, covr, DBI, knitr, lattice, methods, rlang, rmarkdown
(>= 2.12), RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"wk","wk","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9.1",NA,"R (>= 2.10)",NA,NA,"testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"wooldridge","wooldridge","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4-3",NA,"R (>= 3.5.0)",NA,NA,"knitr, rmarkdown, stargazer, tinytest, xts, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"wordcloud","wordcloud","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.6",NA,"methods, RColorBrewer","Rcpp (>= 0.9.4)","Rcpp","tm (>= 0.6), slam",NA,"LGPL-2.1",NA,NA,NA,NA,"yes","4.2.0"
"wordcloud2","wordcloud2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.1",NA,"R (>= 3.1.0)","htmlwidgets, base64enc, grDevices, graphics",NA,"knitr, rmarkdown, webshot","shiny (>= 0.12)","GPL-2",NA,NA,NA,NA,"no","4.2.0"
"worldcup","worldcup","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.0",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"CC-BY-SA 4.0",NA,NA,NA,NA,"no","4.2.1"
"writexl","writexl","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.2",NA,NA,NA,NA,"spelling, readxl, nycflights13, testthat, bit64",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"xaringan","xaringan","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.28",NA,"R (>= 3.5.0)","htmltools, knitr (>= 1.30), servr (>= 0.13), xfun (>= 0.18),
rmarkdown (>= 2.8)",NA,"rstudioapi, testit",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"xfun","xfun","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.41",NA,NA,"stats, tools",NA,"testit, parallel, codetools, rstudioapi, tinytex (>= 0.30),
mime, markdown (>= 1.5), knitr (>= 1.42), htmltools, remotes,
pak, rhub, renv, curl, jsonlite, magick, yaml, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"XML","XML","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.99-0.16.1",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"xml2","xml2","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.6",NA,"R (>= 3.6.0)","cli, methods, rlang (>= 1.1.0)",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"xopen","xopen","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,"R (>= 3.1)","processx",NA,"ps, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"xtable","xtable","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"xts","xts","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.13.2",NA,"R (>= 3.6.0), zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"yaml","yaml","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.8",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"yulab.utils","yulab.utils","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.4",NA,NA,"cli, digest, fs, memoise, rlang, stats, tools, utils",NA,"httr, jsonlite, openssl",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"zip","zip","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3.1",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.1"
"zoo","zoo","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.8-12",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
